         1080338 function calls (1039334 primitive calls) in 6.974 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.004    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1781(_consolidate_inplace)
        6    0.000    0.000    0.098    0.016 C:\Program Files\Python311\Lib\json\decoder.py:332(decode)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:649(_simple_new)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       48    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:693(_sanitize_ndim)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        6    0.000    0.000    0.009    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2120(create_block_manager_from_column_arrays)
       12    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:278(__init__)
     12/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       21    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2667(get_block_type)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:1577(construct_1d_object_array_from_listlike)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:532(treat_as_nested)
        6    0.000    0.000    0.092    0.015 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:506(nested_data_to_arrays)
        5    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1777(<listcomp>)
        9    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_dtype.py:346(_name_get)
       48    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:732(_sanitize_str_dtypes)
       48    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:416(extract_array)
       17    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:214(is_extension)
        9    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:225(_consolidate_key)
       42    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2176(_grouping_func)
        2    0.000    0.000    0.004    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2258(_consolidate)
       54    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\__init__.py:55(using_pyarrow_string_dtype)
        6    0.000    0.000    0.014    0.002 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1070(<listcomp>)
        6    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\base.py:836(__iter__)
        6    0.000    0.000    0.032    0.005 C:\Program Files\Python311\Lib\encodings\cp1252.py:22(decode)
       42    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\common.py:566(require_length_match)
