         337545 function calls (333626 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1610    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:416(extract_array)
      258    0.002    0.000    0.009    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1755(<listcomp>)
     2577    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:649(_get_deprecated_option)
       16    0.002    0.000    0.112    0.007 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:704(_get_strcols_without_index)
     2593    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:999(__len__)
        6    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:421(_get_indexer)
      512    0.002    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:201(_simple_new)
      172    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\missing.py:305(_isna_string_dtype)
      418    0.002    0.000    0.012    0.000 C:\Program Files\Python311\Lib\asyncio\tasks.py:627(sleep)
      209    0.002    0.000    0.034    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2120(create_block_manager_from_column_arrays)
     1540    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:732(_sanitize_str_dtypes)
      848    0.002    0.000    0.723    0.001 C:\Program Files\Python311\Lib\asyncio\events.py:78(_run)
     1454    0.002    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\common.py:566(require_length_match)
      209    0.002    0.000    0.007    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_asarray.py:27(require)
      258    0.002    0.000    0.030    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1726(_make_fixed_width)
     1931    0.002    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\missing.py:184(_isna)
      209    0.002    0.000    0.092    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:506(nested_data_to_arrays)
      225    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      626    0.002    0.000    0.016    0.000 C:\Program Files\Python311\Lib\encodings\cp1252.py:22(decode)
     1368    0.002    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2176(_grouping_func)
     4424    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\multiarray.py:1080(copyto)
     1540    0.002    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\construction.py:752(_maybe_repeat)
      456    0.002    0.000    0.002    0.000 <frozen ntpath>:154(splitdrive)
      194    0.002    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:6230(__finalize__)
